,true_value,impute_value
395,742.503565,742.503565
396,704.4055729,704.4055729
397,668.1177387,464.93446787381407
398,658.9308957,658.9308957
399,640.1847326,458.9907783192936
400,639.0332789,639.0332789
401,591.7971174,591.7971174
402,589.1393656,589.1393656
403,560.6514202,460.655986425679
404,558.0236338,558.0236338
405,566.7398596,566.7398596
406,529.8141721,529.8141721
407,562.4735571,562.4735571
408,666.549539,666.549539
409,586.7700802,586.7700802000002
410,586.1616045,586.1616045
411,570.7357929,570.7357929
412,565.4677235,565.4677235
413,560.8896389,560.8896389
414,552.7499696,552.7499696
415,540.8509127,457.6319222279176
416,502.38203,502.38203
417,503.7087703,503.7087703
418,505.9776318,505.9776318
419,506.303708,506.303708
420,498.6970193,498.6970193
421,503.772842,503.772842
422,493.1042044,493.1042044
423,479.8693514,479.8693514
424,497.6963997,497.6963997
425,495.5698092,495.5698092
426,494.3691599,494.3691599
427,499.8198508,499.8198508
428,497.2659088,497.2659088
429,521.3069941,521.3069941
430,477.519518,477.519518
431,487.1631799,487.1631799
432,475.7723224,475.7723224
433,460.3247296,460.3247296
434,460.9604028,460.9604028
435,471.5272224,463.66678352349487
436,483.6836468,483.6836468
437,483.1752174,483.1752174
438,473.4794523,473.4794523
439,467.9254656,457.33912510244033
440,444.411286,444.411286
441,445.1785707,445.1785707
442,434.3199606,434.3199606
443,433.7127318,433.7127318
444,426.224995,426.224995
445,421.7154336,421.7154336
446,421.6860867,460.7751025356013
447,409.335804,409.335804
448,401.1460156,401.1460156
449,402.093609,402.093609
450,416.7106676,416.7106676
451,387.3078859,387.3078859
452,403.7154384,403.7154384
453,400.971385,459.15323554096835
454,379.1466361,460.63909317694146
455,404.0522985,404.0522985
456,370.9175346,370.9175346
457,352.8464972,352.8464972
458,335.4331361,335.4331361
459,333.8979607,333.8979607
460,328.8287404,328.8287404
461,347.5675942,347.5675942
462,315.3438487,315.3438487
463,296.8521067,296.8521067
464,294.1624756,294.1624756
465,302.5532023,302.5532023
466,311.361511,311.361511
467,349.01633,349.01633
468,303.0964068,303.0964068
469,288.5685676,288.5685676
470,281.3637716,281.3637716
471,274.0493586,466.40190697624035
472,267.7012001,267.7012001
473,274.7399371,274.7399371
474,266.3436322,266.3436322
475,258.806784,258.806784
476,260.4480432,260.4480432
477,255.5926652,255.5926652
478,271.6122842,271.6122842
479,283.3896089,283.3896089
480,255.8579941,255.8579941
481,254.1101187,254.1101187
482,246.3523276,246.3523276
483,270.220739,270.220739
484,281.8678499,281.8678499
485,274.1119287,274.1119287
486,252.8554657,252.8554657
487,208.0078218,208.0078218
488,209.6755062,209.67550619999997
489,207.8432403,207.8432403
490,228.5740497,228.5740497
491,225.3589889,225.3589889
492,220.8833051,220.8833051
493,221.6038998,221.6038998
494,217.2603918,217.2603918
495,216.7409973,216.7409973
496,227.218995,227.218995
497,230.5468522,230.5468522
498,213.8202279,213.82022790000002
499,200.9968596,200.9968596
500,204.1316993,204.1316993
501,208.5915591,457.97476596251664
502,222.7807844,222.7807844
503,202.6444571,202.6444571
504,205.160437,205.160437
505,204.6871086,204.6871086
506,207.7232517,207.7232517
507,198.314634,463.13408499857013
508,211.8249241,211.8249241
509,205.432433,205.432433
510,197.9702817,465.537128047258
511,190.3449426,190.3449426
512,193.3811948,193.3811948
513,197.4742949,197.4742949
514,210.2887105,463.001298883281
515,199.4632778,199.4632778
516,194.8314464,194.8314464
517,199.8349537,461.4904323322263
518,186.927809,186.927809
519,190.5528129,190.5528129
520,208.5760442,208.5760442
521,196.8746756,196.8746756
522,190.7711478,190.7711478
523,190.8533342,190.8533342
524,190.6014317,190.6014317
525,189.29184,189.29184
526,216.7491674,216.7491674
527,196.7505478,196.7505478
